j,i,x
Afghanistan,Bahrain,1
Afghanistan,Bangladesh,1
Afghanistan,Mainland China,1
Afghanistan,Egypt,1
Afghanistan,India,2
Afghanistan,Iran,3
Afghanistan,Iraq,2
Afghanistan,Israel,1
Afghanistan,Kazakhstan,2
Afghanistan,Kuwait,2
Afghanistan,Lebanon,1
Afghanistan,Mongolia,1
Afghanistan,Nepal,2
Afghanistan,Oman,1
Afghanistan,Pakistan,3
Afghanistan,Russia,1
Afghanistan,Saudi Arabia,1
Afghanistan,United Arab Emirates,1
Albania,Algeria,1
Albania,Austria,2
Albania,Belgium,1
Albania,Bulgaria,2
Albania,Croatia,2
Albania,Czech Republic,2
Albania,Denmark,1
Albania,Egypt,1
Albania,Estonia,1
Albania,Finland,1
Albania,France,1
Albania,Germany,1
Albania,Greece,3
Albania,Hungary,2
Albania,Israel,1
Albania,Italy,2
Albania,Lebanon,1
Albania,Libya,1
Albania,Morocco,1
Albania,Netherlands,1
Albania,Norway,1
Albania,Poland,1
Albania,Portugal,1
Albania,Romania,2
Albania,Russia,1
Albania,Serbia,2
Albania,Spain,1
Albania,Sweden,1
Albania,Switzerland,1
Albania,Turkey,2
Albania,UK,1
Albania,Ukraine,2
Algeria,Austria,1
Algeria,Belgium,1
Algeria,Bosnia and Herzegovina,1
Algeria,Bulgaria,1
Algeria,Camerun,2
Algeria,Central African Republic,2
Algeria,Chad,2
Algeria,Croatia,1
Algeria,Czech Republic,1
Algeria,Denmark,1
Algeria,Egypt,2
Algeria,Ethiopia,1
Algeria,France,1
Algeria,Germany,1
Algeria,Greece,1
Algeria,Hungary,1
Algeria,Israel,1
Algeria,Italy,1
Algeria,Lebanon,1
Algeria,Libya,3
Algeria,Morocco,3
Algeria,Netherlands,1
Algeria,Portugal,1
Algeria,Romania,1
Algeria,Saudi Arabia,1
Algeria,South Africa,1
Algeria,Spain,1
Algeria,Sudan,2
Algeria,Switzerland,1
Algeria,Turkey,1
Algeria,UK,1
Argentina,Bolivia,3
Argentina,Brazil,3
Argentina,Chile,3
Argentina,Colombia,2
Argentina,Mexico,1
Argentina,Peru,2
Argentina,US,1
Argentina,Venezuela,2
Australia,Indonesia,1
Australia,Malaysia,1
