Date,Positivi,Guariti,Deceduti,Tamponi,Casi Totale,Casi Totale Province,Region
2020-02-24,NA,NA,NA,NA,172,NA,Lombardia
2020-02-24,NA,NA,NA,NA,18,NA,Emilia-Romagna
2020-02-24,NA,NA,NA,NA,33,NA,Veneto
2020-02-24,NA,NA,NA,NA,3,NA,Piemonte
2020-02-24,NA,NA,NA,NA,0,NA,Marche
2020-02-24,NA,NA,NA,NA,0,NA,Liguria
2020-02-24,NA,NA,NA,NA,0,NA,Campania
2020-02-24,NA,NA,NA,NA,0,NA,Toscana
2020-02-24,NA,NA,NA,NA,0,NA,Friuli-Venezia Giulia
2020-02-24,NA,NA,NA,NA,0,NA,Sicilia
2020-02-24,NA,NA,NA,NA,3,NA,Lazio
2020-02-24,NA,NA,NA,NA,0,NA,Abruzzo
2020-02-24,NA,NA,NA,NA,0,NA,Puglia
2020-02-24,NA,NA,NA,NA,0,NA,Umbria
2020-02-24,NA,NA,NA,NA,0,NA,Trentino-Alto Adige
2020-02-24,NA,NA,NA,NA,0,NA,Calabria
2020-02-24,NA,NA,NA,NA,0,NA,Sardegna
2020-02-24,NA,NA,NA,NA,0,NA,Valle d'Aosta
2020-02-24,NA,NA,NA,NA,0,NA,Molise
2020-02-24,NA,NA,NA,NA,0,NA,Basilicata
2020-02-25,NA,NA,6,NA,212,NA,Lombardia
2020-02-25,NA,NA,0,NA,23,NA,Emilia-Romagna
2020-02-25,NA,NA,1,NA,38,NA,Veneto
2020-02-25,NA,NA,0,NA,3,NA,Piemonte
2020-02-25,NA,NA,0,NA,0,NA,Marche
2020-02-25,NA,NA,0,NA,0,NA,Liguria
2020-02-25,NA,NA,0,NA,0,NA,Campania
2020-02-25,NA,NA,0,NA,2,NA,Toscana
2020-02-25,NA,NA,0,NA,0,NA,Friuli-Venezia Giulia
2020-02-25,NA,NA,0,NA,1,NA,Sicilia
2020-02-25,NA,NA,0,NA,3,NA,Lazio
2020-02-25,NA,NA,0,NA,0,NA,Abruzzo
2020-02-25,NA,NA,0,NA,0,NA,Puglia
2020-02-25,NA,NA,0,NA,0,NA,Umbria
2020-02-25,NA,NA,0,NA,1,NA,Trentino-Alto Adige
2020-02-25,NA,NA,0,NA,0,NA,Calabria
2020-02-25,NA,NA,0,NA,0,NA,Sardegna
2020-02-25,NA,NA,0,NA,0,NA,Valle d'Aosta
2020-02-25,NA,NA,0,NA,0,NA,Molise
2020-02-25,NA,NA,0,NA,0,NA,Basilicata
2020-02-26,NA,NA,NA,NA,258,NA,Lombardia
2020-02-26,NA,NA,NA,NA,30,NA,Emilia-Romagna
