Province/State,Country/Region,Lat,Long,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20
Abruzzo,Italy,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,7,7,7,8,10
Basilicata,Italy,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.A. Bolzano,Italy,46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Calabria,Italy,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,2,2,2
Campania,Italy,40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,23,28,28,28,28,30,30
Emilia Romagna,Italy,44.49436681,11.3417208,0,0,0,0,0,0,0,0,4,6,10,17,25,27,30,31,38,43,51,54,68,88,134,152,177,239
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,10,11,11,17,17,18,17,15,41,63
Lazio,Italy,41.89277044,12.48366722,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,11,19,19,24,24,24,32,34,42,44,53
Liguria,Italy,44.41149315,8.9326992,0,0,0,0,0,4,4,4,4,4,4,5,5,5,5,5,5,20,24,52,33,42,57,70,85,101
Lombardia,Italy,45.46679409,9.190347404,0,0,0,40,40,40,73,139,139,250,376,469,524,550,646,896,900,1085,1198,1660,2011,2368,2485,3488,3778,4295
Marche,Italy,43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molise,Italy,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6
Piemonte,Italy,45.0732745,7.680687483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Puglia,Italy,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,4,4
Sardegna,Italy,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Sicilia,Italy,38.11569725,13.3623567,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,8,8,12,15,25
Toscana,Italy,43.76923077,11.25588885,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,5,7,10,10,10,11,12,17,22,33
P.A. Trento,Italy,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,5,5,10,12,20,29
Umbria,Italy,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,4,4,4
Valle d'Aosta,Italy,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veneto,Italy,45.43490485,12.33845213,0,0,0,0,0,0,0,0,7,9,17,22,25,29,30,47,54,55,100,107,120,130,136,167,200,223
