"","Abruzzo","Basilicata","Calabria","Campania","Emilia Romagna","Friuli Venezia Giulia","Lazio","Liguria","Lombardia","Marche","Molise","P.A. Bolzano","P.A. Trento","Piemonte","Puglia","Sardegna","Sicilia","Toscana","Umbria","Valle d'Aosta","Veneto"
"Abruzzo",38199.2103859432,1306.89171096036,438.655312787809,3008.6317626405,1184.54585128637,739.754371140926,12026.3600010254,545.64940179627,427.407542628121,5034.61422543619,5349.7746614564,418.662195783691,490.850759084129,329.402010404189,982.455600801219,396.608045736959,452.079008488538,1809.25106334785,7200.11101481508,264.187671005391,802.300950196025
"Basilicata",1306.89171096036,38199.2103859432,2014.20596731258,5640.50802698759,314.978936412783,296.575955846023,1032.84599404658,202.490527203898,173.233476487605,689.31549837635,5084.44507479656,180.973391351286,196.996110522792,146.542924914838,9149.57786309558,283.849212541308,814.413311520388,381.893196185066,643.058736276955,125.787874168874,275.145661334897
"Calabria",438.655312787809,2014.20596731258,38199.2103859432,1120.97350935519,169.591922056759,155.079420993828,427.405133921332,127.465395075318,109.203596851457,280.440027965536,815.637904814473,108.603489105607,116.654400738667,98.3226752248953,1307.6612561394,254.124799024394,1421.99014052299,199.996700010406,284.182290162038,85.8492120200903,148.757640024893
"Campania",3008.6317626405,5640.50802698759,1120.97350935519,38199.2103859432,451.186041037185,348.335735051474,2813.67795727239,287.775601618124,230.78673846762,1012.02658505065,13272.0840640274,222.348283744289,249.040074400201,196.845258868597,2020.50074381139,444.543031699304,1027.78637140641,599.404025623223,1146.29613133291,163.504798243692,351.1330352871
"Emilia Romagna",1184.54585128637,314.978936412783,169.591922056759,451.186041037185,38199.2103859432,1887.49808131892,1085.21242475034,2713.90196994973,2471.11910318057,2503.71911586029,557.175967420302,2013.8214742169,3233.96108735186,1135.41618684849,290.674013466605,264.520206913544,188.541391993319,15292.281346796,3240.30876830793,838.999133098458,5845.12492220402
"Friuli Venezia Giulia",739.754371140926,296.575955846023,155.079420993828,348.335735051474,1887.49808131892,38199.2103859432,540.83589969826,609.512648389075,780.469093177854,1945.03589259639,472.070333677498,2287.22751342121,2251.07101990491,432.030792157024,316.916867619674,152.178805015886,142.585880437868,1200.88102556998,1087.96038166961,396.514569769403,7671.2942218792
"Lazio",12026.3600010254,1032.84599404658,427.405133921332,2813.67795727239,1085.21242475034,540.83589969826,38199.2103859432,618.572722930422,438.379761382538,2280.09690437347,2928.36074743165,370.226683369343,440.054647808903,362.771466433813,708.421637257624,588.361044806366,550.939423411929,1868.18650475368,5480.36529634904,281.874958103229,645.079435305926
"Liguria",545.64940179627,202.490527203898,127.465395075318,287.775601618124,2713.90196994973,609.512648389075,618.572722930422,38199.2103859432,7058.5448186993,699.31793316932,314.067123253913,1113.91936624973,1576.0937758932,6561.6133413113,180.417468148243,300.023731503089,159.696073381855,2518.62370028532,1015.96731514886,2642.95343536144,1173.44397736293
"Lombardia",427.407542628121,173.233476487605,109.203596851457,230.78673846762,2471.11910318057,780.469093177854,438.379761382538,7058.5448186993,38199.2103859432,622.93008277704,260.539321816684,2418.7851287207,3698.74039569099,6270.54772189117,161.353074609354,207.359217074822,127.175497542891,1601.21968505475,746.931787305679,4505.95752436308,1648.78712145873
"Marche",5034.61422543619,689.31549837635,280.440027965536,1012.02658505065,2503.71911586029,1945.03589259639,2280.09690437347,699.31793316932,622.93008277704,38199.2103859432,1637.39841856179,759.854597654061,907.690316655432,411.892253825597,655.344365554888,266.998883919076,267.828188109784,2978.95979786361,8613.39021596189,336.843257212583,2015.26574833903
"Molise",5349.7746614564,5084.44507479656,815.637904814473,13272.0840640274,557.175967420302,472.070333677498,2928.36074743165,314.067123253913,260.539321816684,1637.39841856179,38199.2103859432,269.249196493691,301.123176462475,211.652790841702,2742.62150708309,345.484752371247,631.438666517822,723.817933515825,1547.33780879386,176.852771435944,453.030474285298
"P.A. Bolzano",418.662195783691,180.973391351286,108.603489105607,222.348283744289,2013.8214742169,2287.22751342121,370.226683369343,1113.91936624973,2418.7851287207,759.854597654061,269.249196493691,38199.2103859432,38198.2103859432,936.346765823229,181.006644698357,145.283877421517,111.806405023636,1085.54730744654,672.086959296738,956.98744144042,5053.4953924001
"P.A. Trento",490.850759084129,196.996110522792,116.654400738667,249.040074400201,3233.96108735186,2251.07101990491,440.054647808903,1576.0937758932,3698.74039569099,907.690316655432,301.123176462475,38198.2103859432,38199.2103859432,1185.45561758745,193.668762876674,164.822312531734,122.760541485318,1528.41465853593,844.125876918796,1131.99796334379,7175.88111888402
"Piemonte",329.402010404189,146.542924914838,98.3226752248953,196.845258868597,1135.41618684849,432.030792157024,362.771466433813,6561.6133413113,6270.54772189117,411.892253825597,211.652790841702,936.346765823229,1185.45561758745,38199.2103859432,133.279424504491,228.668611644865,121.872981346229,980.057681471834,526.910457218354,16009.2617057361,739.33520904863
"Puglia",982.455600801219,9149.57786309558,1307.6612561394,2020.50074381139,290.674013466605,316.916867619674,708.421637257624,180.417468148243,161.353074609354,655.344365554888,2742.62150708309,181.006644698357,193.668762876674,133.279424504491,38199.2103859432,207.835276366098,494.61764950889,334.290259557669,538.908868555461,116.51566897953,274.666573143104
"Sardegna",396.608045736959,283.849212541308,254.124799024394,444.543031699304,264.520206913544,152.178805015886,588.361044806366,300.023731503089,207.359217074822,266.998883919076,345.484752371247,145.283877421517,164.822312531734,228.668611644865,207.835276366098,38199.2103859432,658.788412813831,347.413303432334,381.179151038136,182.983627939027,182.534975864277
"Sicilia",452.079008488538,814.413311520388,1421.99014052299,1027.78637140641,188.541391993319,142.585880437868,550.939423411929,159.696073381855,127.175497542891,267.828188109784,631.438666517822,111.806405023636,122.760541485318,121.872981346229,494.61764950889,658.788412813831,38199.2103859432,234.982031261174,318.508022317267,103.46784727581,149.682387767236
"Toscana",1809.25106334785,381.893196185066,199.996700010406,599.404025623223,15292.281346796,1200.88102556998,1868.18650475368,2518.62370028532,1601.21968505475,2978.95979786361,723.817933515825,1085.54730744654,1528.41465853593,980.057681471834,334.290259557669,347.413303432334,234.982031261174,38199.2103859432,7235.35603243333,690.081737332601,2401.24080854618
"Umbria",7200.11101481508,643.058736276955,284.182290162038,1146.29613133291,3240.30876830793,1087.96038166961,5480.36529634904,1015.96731514886,746.931787305679,8613.39021596189,1547.33780879386,672.086959296738,844.125876918796,526.910457218354,538.908868555461,381.179151038136,318.508022317267,7235.35603243333,38199.2103859432,402.923621120182,1493.86621148267
"Valle d'Aosta",264.187671005391,125.787874168874,85.8492120200903,163.504798243692,838.999133098458,396.514569769403,281.874958103229,2642.95343536144,4505.95752436308,336.843257212583,176.852771435944,956.98744144042,1131.99796334379,16009.2617057361,116.51566897953,182.983627939027,103.46784727581,690.081737332601,402.923621120182,38199.2103859432,647.470198213863
"Veneto",802.300950196025,275.145661334897,148.757640024893,351.1330352871,5845.12492220402,7671.2942218792,645.079435305926,1173.44397736293,1648.78712145873,2015.26574833903,453.030474285298,5053.4953924001,7175.88111888402,739.33520904863,274.666573143104,182.534975864277,149.682387767236,2401.24080854618,1493.86621148267,647.470198213863,38199.2103859432
