date,Abruzzo,Basilicata,Bolzano,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trento,Umbria,Valle d'Aosta,Veneto,Friuli V. G.
2020-02-24,0,0,0,0,0,18,0,3,0,172,0,0,3,0,0,0,0,0,0,0,33,NA
2020-02-25,0,0,1,0,0,26,0,3,1,240,0,0,3,0,0,3,2,0,0,0,43,NA
2020-02-26,0,0,1,0,0,47,0,3,11,258,1,0,3,0,0,3,2,0,0,0,71,NA
2020-02-27,1,0,1,0,3,97,0,3,19,403,3,0,2,1,0,4,2,0,0,0,111,NA
2020-02-28,1,0,1,1,4,145,0,3,19,531,6,0,11,3,0,4,8,0,0,0,151,NA
2020-02-29,2,0,1,1,13,217,0,6,42,615,11,0,11,3,0,4,11,0,0,0,191,NA
2020-03-01,5,0,1,1,17,285,6,6,25,984,25,0,49,3,0,9,13,0,2,0,263,NA
2020-03-02,5,0,1,1,17,335,9,7,22,1254,35,0,51,4,0,7,13,0,2,0,273,NA
2020-03-03,6,1,1,1,30,420,13,14,24,1520,61,3,56,6,1,7,19,4,8,0,307,NA
2020-03-04,7,1,1,1,31,544,18,30,26,1820,84,3,82,9,2,18,38,5,9,0,360,NA
2020-03-05,8,1,1,2,45,698,21,44,28,2251,124,7,108,14,2,18,61,7,9,2,407,NA
2020-03-06,9,3,4,4,57,870,31,54,32,2612,159,12,143,17,5,24,79,10,16,7,488,NA
2020-03-07,11,3,9,4,61,1010,42,76,51,3420,207,14,207,26,5,35,113,14,24,8,543,NA
2020-03-08,17,4,9,9,101,1180,57,87,78,4189,272,14,360,40,11,53,166,23,26,9,670,NA
2020-03-09,30,5,9,11,120,1386,93,102,109,5469,323,14,350,50,19,54,208,33,28,15,744,NA
2020-03-10,38,7,38,13,127,1533,NA,116,141,5791,394,15,453,59,20,62,264,52,37,17,856,116
