date,Abruzzo,Basilicata,P.A. Bolzano,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto
2020-02-24,0,0,0,0,0,6,0,0,0,71,0,0,1,0,0,0,0,0,0,0,16
2020-02-25,0,0,0,0,0,9,0,0,0,127,0,0,1,0,0,2,0,0,0,0,23
2020-02-26,0,0,0,0,0,23,0,0,5,145,0,0,1,0,0,2,0,0,0,0,45
2020-02-27,0,0,0,0,1,54,0,0,10,136,0,0,0,0,0,1,0,0,0,0,82
2020-02-28,0,0,0,1,2,81,0,0,10,192,1,0,4,2,0,1,2,0,0,0,116
2020-02-29,0,0,0,1,10,116,0,0,33,216,3,0,4,2,0,1,3,0,0,0,154
2020-03-01,2,0,0,1,13,137,6,0,8,375,8,0,36,2,0,6,5,0,2,0,197
2020-03-02,2,0,0,1,13,160,9,1,5,472,11,0,37,2,0,3,5,0,2,0,204
2020-03-03,1,1,0,1,19,187,12,1,5,461,19,0,40,4,0,3,8,3,6,0,229
2020-03-04,0,1,0,1,20,234,15,9,8,411,31,0,43,3,1,11,20,4,7,0,246
2020-03-05,0,1,0,1,33,299,17,14,7,364,44,3,46,6,0,11,31,5,7,2,264
2020-03-06,0,2,0,2,45,366,24,16,7,77,62,7,52,9,3,15,38,6,12,7,310
2020-03-07,0,2,1,2,45,409,31,21,10,722,71,9,54,12,3,25,51,7,20,7,341
2020-03-08,3,2,1,4,63,480,45,26,17,756,114,8,65,16,6,33,67,14,22,8,430
2020-03-09,5,3,1,1,69,620,70,31,20,1248,130,8,65,20,11,33,90,21,22,11,457
2020-03-10,11,5,20,1,85,650,77,34,42,642,175,9,64,21,11,41,129,28,27,15,512
2020-03-11,11,6,63,5,82,739,89,40,73,1351,183,9,86,29,27,57,173,42,32,17,610
2020-03-12,19,6,78,16,107,832,115,67,107,2044,240,9,89,38,27,78,193,54,46,19,852
2020-03-13,27,8,98,16,134,941,169,96,132,2647,276,9,103,42,31,82,244,93,52,21,980
2020-03-14,41,8,137,33,154,1121,193,114,109,3429,321,9,126,59,33,97,367,119,71,29,1290
2020-03-15,28,9,145,28,201,1357,206,142,174,3776,468,10,133,90,59,108,481,275,101,43,1434
2020-03-16,57,9,171,44,238,1529,231,174,247,3867,547,7,174,90,66,108,559,275,114,70,1620
