date,Abruzzo,Basilicata,P.A. Bolzano,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto
2020-02-24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,3,0,40,0,0,0,0,0,2,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,3,0,40,0,0,0,0,0,2,1,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,3,4,40,0,0,0,0,0,2,1,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,3,4,73,0,0,0,0,0,2,1,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,3,4,139,0,0,0,0,0,2,1,0,0,0,0
2020-03-03,0,0,0,0,0,4,0,3,4,139,0,0,0,0,0,2,1,0,0,0,7
2020-03-04,0,0,0,0,0,6,0,3,4,250,0,0,0,1,0,2,1,0,0,0,9
2020-03-05,0,0,0,0,0,10,0,3,4,376,0,0,0,1,0,2,1,0,0,0,17
2020-03-06,0,0,0,0,0,17,3,3,5,469,0,0,0,1,0,2,1,0,0,0,22
2020-03-07,0,0,0,0,0,25,3,3,5,524,0,0,0,1,0,2,1,0,0,0,25
2020-03-08,0,0,0,0,1,27,3,3,5,550,0,0,0,1,0,2,1,0,0,0,29
2020-03-09,0,0,0,2,1,30,3,3,5,646,0,0,0,1,0,2,1,0,0,0,30
2020-03-10,0,0,0,2,1,31,3,11,5,896,0,0,0,1,0,2,3,2,0,0,47
2020-03-11,0,0,0,2,4,38,10,19,5,900,0,0,0,1,0,2,5,3,2,0,54
2020-03-12,4,0,0,1,4,43,11,19,20,1085,0,0,0,1,0,2,7,4,2,0,55
2020-03-13,4,0,0,1,5,51,11,24,24,1198,0,0,0,3,0,2,10,4,2,0,100
2020-03-14,4,0,0,1,23,54,17,24,52,1660,0,0,0,2,0,4,10,5,3,0,107
2020-03-15,6,0,0,1,28,68,17,24,33,2011,0,0,0,2,0,7,10,5,3,0,120
