date,Abruzzo,Basilicata,P.A. Bolzano,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto
2020-02-24,5,0,1,1,10,148,58,124,1,1463,16,0,141,0,1,5,140,3,0,7,2200
2020-02-25,5,0,1,2,10,391,89,124,39,3700,21,0,141,0,1,5,296,3,8,7,3780
2020-02-26,13,0,1,3,10,577,114,124,66,3208,28,0,156,0,1,5,363,3,8,7,4900
2020-02-27,33,0,2,14,10,1033,141,552,78,3320,46,0,156,0,1,5,410,32,8,9,6164
2020-02-28,33,0,2,21,213,1277,169,611,112,4835,47,0,227,242,1,5,437,32,8,9,7414
2020-02-29,43,32,16,27,373,1550,189,679,121,5723,68,0,308,252,1,6,531,43,31,9,8659
2020-03-01,52,39,20,35,373,1795,243,724,121,6879,101,6,362,262,29,291,572,122,35,10,9056
2020-03-02,52,39,20,39,373,1973,269,773,121,7925,137,13,434,278,29,307,613,122,35,11,9782
2020-03-03,52,42,20,39,405,2012,354,877,121,9577,200,13,458,298,29,307,697,122,45,12,10176
2020-03-04,85,48,20,46,429,2500,376,995,133,12138,288,19,543,322,42,367,776,122,58,15,10515
2020-03-05,96,54,20,53,471,2884,397,1175,146,12354,413,24,543,359,50,367,776,122,88,21,11949
2020-03-06,96,63,36,99,471,3136,577,1373,229,13556,585,104,793,395,99,367,1097,122,110,28,13023
2020-03-07,123,75,36,113,612,3604,577,1582,331,15778,816,112,1046,395,99,643,1331,194,134,32,14429
2020-03-08,163,123,36,113,980,4344,997,1929,401,18534,1025,116,1636,627,149,791,1618,228,168,41,15918
2020-03-09,237,135,36,173,980,4906,1344,1929,611,20135,1250,212,1681,685,185,836,2018,267,183,67,15956
2020-03-10,310,148,36,360,1141,5494,1602,3591,694,21479,1437,225,2374,747,204,955,2573,399,260,89,16643
2020-03-11,310,155,75,405,1375,6640,2073,3591,1025,25629,1656,233,2431,909,283,1194,2804,527,340,99,21400
