date,Abruzzo,Basilicata,Bolzano,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trento,Umbria,Valle d'Aosta,Veneto
2020-02-24,0,0,0,0,0,2,0,1,0,19,0,0,0,0,0,0,0,0,0,0,4
2020-02-25,0,0,0,0,0,2,0,1,0,25,0,0,0,0,0,0,0,0,0,0,7
2020-02-26,0,0,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,8
2020-02-27,0,0,0,0,0,6,0,0,0,41,1,0,0,0,0,0,0,0,0,0,8
2020-02-28,0,0,0,0,0,6,0,0,0,47,2,0,0,0,0,0,0,0,0,0,9
2020-02-29,0,0,0,0,0,11,0,0,1,80,2,0,0,0,0,0,0,0,0,0,11
2020-03-01,0,0,0,0,0,13,0,0,1,106,5,0,2,0,0,0,0,0,0,0,13
2020-03-02,0,0,0,0,0,16,0,0,1,127,6,0,2,0,0,0,0,0,0,0,14
2020-03-03,0,0,0,0,0,24,0,0,2,167,13,0,3,0,0,0,0,0,1,0,19
2020-03-04,0,0,0,0,0,26,0,3,3,209,15,0,13,0,0,0,2,0,1,0,23
2020-03-05,0,0,0,0,0,32,0,7,3,244,19,0,17,1,0,0,3,0,1,0,24
2020-03-06,0,0,0,0,0,53,0,8,5,309,20,2,30,1,0,0,5,0,2,0,27
2020-03-07,0,0,0,0,0,64,1,8,6,359,36,2,38,2,0,0,7,1,2,0,41
2020-03-08,0,0,0,0,7,75,1,8,11,399,41,2,45,3,0,0,7,2,2,0,47
2020-03-09,0,0,0,0,8,90,1,8,17,440,47,2,50,6,0,0,9,2,2,0,51
2020-03-10,9,0,1,2,8,98,6,15,29,466,54,3,66,6,0,2,40,3,2,0,67
